name,company,phone,whatsapp,email,website,location,service,budget,requirement,timeline,source,status,priority
"Royal Barber Studio (Owner)","Royal Barber Studio","+91 9810000000","919810000000","contact@royalbarberstudio.in","https://www.royalbarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Royal Barber Studio | Address: Shop 12, Sector 18 Market, Noida | Rating: 4.1★ (45 Google Reviews) | Website: https://www.royalbarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Classic Fades Barber Studio (Owner)","Classic Fades Barber Studio","+91 9810518507","919810518507","contact@classicfadesbarberstudio.in","https://www.classicfadesbarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Classic Fades Barber Studio | Address: Shop 57, Sector 50 Central Market, Noida | Rating: 4.8★ (50 Google Reviews) | Website: https://www.classicfadesbarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Master Touch Barber Studio (Owner)","Master Touch Barber Studio","+91 9811753074","919811753074","contact@mastertouchbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Master Touch Barber Studio | Address: Shop 60, Sector 104 High Street, Noida | Rating: 4.1★ (69 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Star Barber Studio (Owner)","Star Barber Studio","+91 9812987641","919812987641","contact@starbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Star Barber Studio | Address: Shop 63, Sector 62, Noida | Rating: 4.2★ (88 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Blush & Glow Barber Studio (Owner)","Blush & Glow Barber Studio","+91 9814222208","919814222208","contact@blushglowbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Blush & Glow Barber Studio | Address: Shop 66, Sector 18 Market, Noida | Rating: 4.3★ (107 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Elite Barber Studio (Owner)","Elite Barber Studio","+91 9815456775","919815456775","contact@elitebarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Elite Barber Studio | Address: Shop 69, Atta Market Sector 27, Noida | Rating: 4.4★ (126 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Signature Barber Studio (Owner)","Signature Barber Studio","+91 9816691342","919816691342","contact@signaturebarberstudio.in","https://www.signaturebarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Signature Barber Studio | Address: Shop 72, Sector 29 Brahmaputra Complex, Noida | Rating: 4.5★ (145 Google Reviews) | Website: https://www.signaturebarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Crown Barber Studio (Owner)","Crown Barber Studio","+91 9817925909","919817925909","contact@crownbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Crown Barber Studio | Address: Shop 75, Sector 50 Central Market, Noida | Rating: 4.6★ (164 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Elegance Barber Studio (Owner)","Elegance Barber Studio","+91 9810160477","919810160477","contact@elegancebarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Elegance Barber Studio | Address: Shop 78, Sector 104 High Street, Noida | Rating: 4.7★ (183 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Swagger Barber Studio (Owner)","Swagger Barber Studio","+91 9811395044","919811395044","contact@swaggerbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Swagger Barber Studio | Address: Shop 81, Sector 62, Noida | Rating: 4.8★ (202 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Royal Barber Studio (Owner)","Royal Barber Studio","+91 9812629611","919812629611","contact@royalbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Royal Barber Studio | Address: Shop 84, Sector 18 Market, Noida | Rating: 4.1★ (221 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"The Gentleman's Barber Studio (Owner)","The Gentleman's Barber Studio","+91 9813864178","919813864178","contact@thegentlemansbarberstudio.in","https://www.thegentlemansbarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: The Gentleman's Barber Studio | Address: Shop 87, Atta Market Sector 27, Noida | Rating: 4.2★ (240 Google Reviews) | Website: https://www.thegentlemansbarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Urban Shears Barber Studio (Owner)","Urban Shears Barber Studio","+91 9815098745","919815098745","contact@urbanshearsbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Urban Shears Barber Studio | Address: Shop 90, Sector 29 Brahmaputra Complex, Noida | Rating: 4.3★ (259 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Classic Fades Barber Studio (Owner)","Classic Fades Barber Studio","+91 9816333312","919816333312","contact@classicfadesbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Classic Fades Barber Studio | Address: Shop 93, Sector 50 Central Market, Noida | Rating: 4.4★ (278 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Master Touch Barber Studio (Owner)","Master Touch Barber Studio","+91 9817567879","919817567879","contact@mastertouchbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Master Touch Barber Studio | Address: Shop 96, Sector 104 High Street, Noida | Rating: 4.5★ (297 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Star Barber Studio (Owner)","Star Barber Studio","+91 9818802446","919818802446","contact@starbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Star Barber Studio | Address: Shop 99, Sector 62, Noida | Rating: 4.6★ (316 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
